time, dqAnkle, qAnkle, dqHip, qHip, ActivationTA, ActivationGAS, ActivationIP, ActivationGM, AnkleTorque, HipTorque, FloorAngle, FloorVel, StiffnessAnkle, StiffnessHip, COM X, Head Z, Total Ankle Torque, Total Hip Torque
0, 0.0039334, -0.11, -0.010213, 0.18, 0.31139, 0.33289, -0.063485, 0.063485, 15.5165, 4.0533, 0, 0, 17.9762, -39.2207, 0.060907, 1.6249, 33.4927, -35.1674
0.01, 0.013567, -0.10993, -0.034645, 0.17981, 0.34561, 0.26366, -0.46587, 0.46587, 7.6377, 28.2043, 0, 0, 17.8732, -38.6051, 0.060882, 1.6249, 25.5109, -10.4008
0.02, 0.013032, -0.10979, -0.032488, 0.17948, 0.33702, 0.25297, -0.48469, 0.48469, 7.0815, 29.3397, 0, 0, 17.8425, -38.4799, 0.060837, 1.6249, 24.924, -9.1403
0.03, 0.010299, -0.10967, -0.023424, 0.17918, 0.32627, 0.24713, -0.48528, 0.48528, 7.064, 29.3774, 0, 0, 17.8187, -38.4109, 0.060793, 1.6249, 24.8826, -9.0335
0.04, 0.0090623, -0.10957, -0.018226, 0.17898, 0.31576, 0.24159, -0.48531, 0.48531, 7.0703, 29.3658, 0, 0, 17.8295, -38.5781, 0.060752, 1.625, 24.8998, -9.2123
0.05, 0.01323, -0.10947, -0.029256, 0.17876, 0.30555, 0.23622, -0.48532, 0.48532, 7.0657, 29.377, 0, 0, 17.791, -38.3969, 0.060707, 1.625, 24.8567, -9.0199
0.06, 0.0117, -0.10934, -0.027158, 0.17845, 0.29565, 0.23101, -0.48533, 0.48533, 7.0669, 29.381, 0, 0, 17.7719, -38.3085, 0.060657, 1.625, 24.8388, -8.9275
0.07, 0.012619, -0.10922, -0.031022, 0.17817, 0.28604, 0.22596, -0.48533, 0.48533, 7.0679, 29.3829, 0, 0, 17.7542, -38.2536, 0.060613, 1.625, 24.8221, -8.8707
0.08, 0.011669, -0.10911, -0.029094, 0.1779, 0.27671, 0.22105, -0.48534, 0.48534, 7.0721, 29.3788, 0, 0, 17.7523, -38.2851, 0.060572, 1.625, 24.8244, -8.9063
0.09, 0.013311, -0.10898, -0.03223, 0.17757, 0.26766, 0.21628, -0.48535, 0.48535, 7.0646, 29.3986, 0, 0, 17.6925, -37.9638, 0.060526, 1.6251, 24.7571, -8.5652
0.1, 0.0068665, -0.10887, -0.013077, 0.17734, 0.25887, 0.21166, -0.48536, 0.48536, 7.0763, 29.3717, 0, 0, 17.7304, -38.3332, 0.060485, 1.6251, 24.8067, -8.9615
0.11, 0.0042049, -0.1088, -0.0060071, 0.17721, 0.25034, 0.20717, -0.48536, 0.48536, 7.0821, 29.3603, 0, 0, 17.7464, -38.4889, 0.060451, 1.6251, 24.8285, -9.1286
0.12, 0.0066078, -0.10875, -0.012356, 0.17712, 0.24206, 0.20282, -0.48537, 0.48537, 7.0803, 29.3648, 0, 0, 17.7282, -38.4171, 0.060422, 1.6251, 24.8085, -9.0523
0.13, 0.01021, -0.10867, -0.023015, 0.17694, 0.23403, 0.19859, -0.48538, 0.48538, 7.0723, 29.3883, 0, 0, 17.6713, -38.0602, 0.060383, 1.6251, 24.7436, -8.6719
0.14, 0.0096654, -0.10856, -0.020928, 0.17671, 0.22623, 0.19449, -0.48538, 0.48538, 7.0745, 29.3856, 0, 0, 17.6641, -38.0771, 0.060341, 1.6251, 24.7386, -8.6916
0.15, 0.00815, -0.10848, -0.019069, 0.17656, 0.21866, 0.19051, -0.48539, 0.48539, 7.0784, 29.3795, 0, 0, 17.671, -38.1512, 0.060306, 1.6251, 24.7494, -8.7718
0.16, 0.0055786, -0.10841, -0.011816, 0.17637, 0.21215, 0.1851, -0.48333, 0.48333, 6.9016, 29.2547, 0, 0, 17.665, -38.151, 0.060276, 1.6251, 24.5666, -8.8963
0.17, 0.010012, -0.10833, -0.02442, 0.17621, 0.20506, 0.18138, -0.48223, 0.48223, 6.8993, 29.1975, 0, 0, 17.6361, -38.0023, 0.060247, 1.6252, 24.5353, -8.8048
0.18, 0.0099809, -0.10826, -0.022278, 0.17605, 0.19849, 0.17715, -0.48136, 0.48136, 6.8319, 29.1375, 0, 0, 17.639, -38.0953, 0.060218, 1.6252, 24.4708, -8.9579
0.19, 0.0093201, -0.10815, -0.02089, 0.17579, 0.19258, 0.17212, -0.48076, 0.48076, 6.6539, 29.119, 0, 0, 17.5866, -37.8034, 0.060175, 1.6252, 24.2405, -8.6844
0.2, 0.013096, -0.10804, -0.032929, 0.17553, 0.18622, 0.1684, -0.48002, 0.48002, 6.6195, 29.0825, 0, 0, 17.5603, -37.6537, 0.060135, 1.6252, 24.1798, -8.5712
0.21, 0.020743, -0.10789, -0.055135, 0.17515, 0.17897, 0.16692, -0.47962, 0.47962, 6.8225, 29.0874, 0, 0, 17.4838, -37.1838, 0.060086, 1.6252, 24.3063, -8.0965
