time, dqAnkle, qAnkle, dqHip, qHip, ActivationTA, ActivationGAS, ActivationIP, ActivationGM, AnkleTorque, HipTorque, FloorAngle, FloorVel, StiffnessAnkle, StiffnessHip, COM X, Head Z, Total Ankle Torque, Total Hip Torque
0, 0.0034126, -0.11, -0.0090876, 0.18, 0.2749, 0.33578, -0.0011754, 0.0011754, 17.5042, 0.31961, 0, 0, 17.9762, -39.2207, 0.060907, 1.6249, 35.4804, -38.9011
0.01, 0.0076793, -0.10995, -0.019992, 0.17985, 0.32072, 0.25104, -0.46438, 0.46438, 7.6879, 28.1061, 0, 0, 17.9015, -38.7491, 0.06089, 1.6249, 25.5893, -10.6431
0.02, 0.010222, -0.10985, -0.026114, 0.1796, 0.31305, 0.24038, -0.48468, 0.48468, 7.0853, 29.3358, 0, 0, 17.8608, -38.5381, 0.060861, 1.6249, 24.9461, -9.2023
0.03, 0.012637, -0.10973, -0.033053, 0.1793, 0.30301, 0.23489, -0.4853, 0.4853, 7.0656, 29.3794, 0, 0, 17.8332, -38.4118, 0.060823, 1.6249, 24.8988, -9.0323
0.04, 0.010319, -0.10961, -0.024332, 0.17898, 0.29318, 0.22972, -0.48533, 0.48533, 7.0683, 29.3747, 0, 0, 17.8244, -38.465, 0.060782, 1.625, 24.8927, -9.0903
0.05, 0.011604, -0.1095, -0.030972, 0.17871, 0.28365, 0.2247, -0.48534, 0.48534, 7.07, 29.3778, 0, 0, 17.812, -38.3941, 0.060745, 1.625, 24.8819, -9.0163
0.06, 0.013939, -0.10937, -0.039452, 0.17837, 0.27439, 0.21983, -0.48534, 0.48534, 7.0646, 29.3961, 0, 0, 17.7639, -38.0932, 0.060708, 1.625, 24.8285, -8.6971
0.07, 0.015333, -0.10923, -0.045918, 0.17796, 0.2654, 0.2151, -0.48535, 0.48535, 7.0653, 29.4033, 0, 0, 17.7407, -37.9456, 0.060674, 1.625, 24.806, -8.5423
0.08, 0.012741, -0.10908, -0.037234, 0.17752, 0.25668, 0.21051, -0.48536, 0.48536, 7.0678, 29.4009, 0, 0, 17.7251, -37.9319, 0.060641, 1.6251, 24.7929, -8.531
0.09, 0.010756, -0.10897, -0.032492, 0.17718, 0.24822, 0.20606, -0.48536, 0.48536, 7.0701, 29.4, 0, 0, 17.7149, -37.9093, 0.060614, 1.6251, 24.785, -8.5093
0.1, 0.0057583, -0.10888, -0.019436, 0.17691, 0.24, 0.20174, -0.48537, 0.48537, 7.0779, 29.3849, 0, 0, 17.7393, -38.102, 0.060597, 1.6251, 24.8172, -8.7172
0.11, 0.0070434, -0.10884, -0.023735, 0.17676, 0.23203, 0.19754, -0.48538, 0.48538, 7.0779, 29.3879, 0, 0, 17.7319, -38.0453, 0.060595, 1.6251, 24.8098, -8.6575
0.12, 0.00052214, -0.1088, -0.0040887, 0.17662, 0.22429, 0.19347, -0.48538, 0.48538, 7.0853, 29.3682, 0, 0, 17.7651, -38.3193, 0.060594, 1.6251, 24.8504, -8.9511
0.13, 0.00052638, -0.10879, -0.0024799, 0.17656, 0.21678, 0.18952, -0.48539, 0.48539, 7.0891, 29.3549, 0, 0, 17.785, -38.5099, 0.060594, 1.6251, 24.8742, -9.155
0.14, 0.00358, -0.10877, -0.0102, 0.17651, 0.20949, 0.18568, -0.4854, 0.4854, 7.0815, 29.3759, 0, 0, 17.7398, -38.204, 0.06059, 1.6251, 24.8214, -8.8281
0.15, -0.0022425, -0.10877, 0.0049037, 0.17649, 0.20241, 0.18196, -0.4854, 0.4854, 7.0899, 29.3538, 0, 0, 17.7883, -38.5279, 0.06059, 1.6251, 24.8782, -9.1741
0.16, -0.0012357, -0.10878, 0.002186, 0.17651, 0.19552, 0.17842, -0.48423, 0.48423, 7.0966, 29.2854, 0, 0, 17.7867, -38.5031, 0.060597, 1.6251, 24.8833, -9.2176
0.17, 0.0024445, -0.10876, -0.010153, 0.17645, 0.18902, 0.17465, -0.48317, 0.48317, 7.0595, 29.2418, 0, 0, 17.7492, -38.2049, 0.060598, 1.6251, 24.8087, -8.9631
0.18, 0.0031214, -0.10873, -0.01497, 0.17631, 0.18256, 0.17132, -0.48233, 0.48233, 7.0635, 29.2009, 0, 0, 17.7317, -38.0441, 0.0606, 1.6251, 24.7952, -8.8432
0.19, -0.0032496, -0.10874, 0.0026393, 0.17628, 0.17699, 0.16674, -0.4812, 0.4812, 6.9231, 29.1087, 0, 0, 17.7861, -38.4062, 0.060615, 1.6251, 24.7092, -9.2975
0.2, -0.00085557, -0.10877, -0.0059248, 0.17629, 0.17009, 0.16514, -0.48119, 0.48119, 7.1041, 29.1149, 0, 0, 17.7818, -38.2998, 0.06064, 1.6251, 24.8859, -9.1849
0.21, -0.0028184, -0.1088, 0.00068691, 0.17629, 0.16319, 0.16399, -0.4806, 0.4806, 7.3302, 29.0699, 0, 0, 17.8057, -38.444, 0.060667, 1.6251, 25.1359, -9.3741
0.22, 0.0015416, -0.10879, -0.012563, 0.17621, 0.15616, 0.16358, -0.48032, 0.48032, 7.6206, 29.0722, 0, 0, 17.765, -38.151, 0.060682, 1.6251, 25.3857, -9.0788
0.23, 0.0085612, -0.10876, -0.034959, 0.17604, 0.15068, 0.16065, -0.47918, 0.47918, 7.6101, 29.0312, 0, 0, 17.7157, -37.7333, 0.060697, 1.6251, 25.3258, -8.7021
0.24, 0.0068784, -0.10869, -0.027957, 0.17572, 0.1452, 0.15804, -0.4788, 0.4788, 7.6353, 29.005, 0, 0, 17.7081, -37.7406, 0.0607, 1.6252, 25.3434, -8.7356
0.25, 0.0031792, -0.10862, -0.015604, 0.17548, 0.13955, 0.15607, -0.47879, 0.47879, 7.7283, 28.9937, 0, 0, 17.717, -37.8667, 0.060703, 1.6252, 25.4453, -8.873
