time, dqAnkle, qAnkle, dqHip, qHip, ActivationTA, ActivationGAS, ActivationIP, ActivationGM, AnkleTorque, HipTorque, FloorAngle, FloorVel, StiffnessAnkle, StiffnessHip, COM X, Head Z, Total Ankle Torque, Total Hip Torque
0, 0.0044921, -0.11, -0.012455, 0.18, 0.087819, 0.28838, -0.096994, 0.096994, 22.094, 6.0613, 0, 0, 17.9762, -39.2207, 0.060907, 1.6249, 40.0701, -33.1594
0.01, 0.012969, -0.10994, -0.035889, 0.17983, 0.15674, 0.16339, -0.46876, 0.46876, 7.5623, 28.3789, 0, 0, 17.8814, -38.5926, 0.060888, 1.6249, 25.4437, -10.2137
0.02, 0.015363, -0.10981, -0.042654, 0.17947, 0.15336, 0.1563, -0.485, 0.485, 7.0817, 29.3661, 0, 0, 17.8377, -38.3605, 0.060852, 1.6249, 24.9194, -8.9944
0.03, 0.0144, -0.10966, -0.040565, 0.17906, 0.148, 0.15334, -0.48543, 0.48543, 7.0689, 29.3985, 0, 0, 17.8099, -38.219, 0.060815, 1.625, 24.8788, -8.8206
0.04, 0.01829, -0.10949, -0.053105, 0.17857, 0.14273, 0.15056, -0.48545, 0.48545, 7.0644, 29.421, 0, 0, 17.7468, -37.8452, 0.060772, 1.625, 24.8112, -8.4242
0.05, 0.0163, -0.10931, -0.048414, 0.17805, 0.13762, 0.14787, -0.48545, 0.48545, 7.0668, 29.4202, 0, 0, 17.7309, -37.7978, 0.06073, 1.625, 24.7977, -8.3776
0.06, 0.016089, -0.10916, -0.048055, 0.17759, 0.13266, 0.14526, -0.48546, 0.48546, 7.0705, 29.4113, 0, 0, 17.7297, -37.8749, 0.060695, 1.625, 24.8003, -8.4636
0.07, 0.012242, -0.10901, -0.03695, 0.17716, 0.12785, 0.14273, -0.48546, 0.48546, 7.0726, 29.4086, 0, 0, 17.7182, -37.864, 0.060663, 1.6251, 24.7907, -8.4554
0.08, 0.010798, -0.1089, -0.031845, 0.17682, 0.12317, 0.14027, -0.48546, 0.48546, 7.0734, 29.4085, 0, 0, 17.7036, -37.8261, 0.060638, 1.6251, 24.777, -8.4176
0.09, 0.01634, -0.10877, -0.049373, 0.17642, 0.11864, 0.13789, -0.48547, 0.48547, 7.0694, 29.4311, 0, 0, 17.6453, -37.4524, 0.06061, 1.6251, 24.7146, -8.0213
0.1, 0.017415, -0.1086, -0.052957, 0.17593, 0.11423, 0.13557, -0.48547, 0.48547, 7.069, 29.4389, 0, 0, 17.6103, -37.2808, 0.060574, 1.6252, 24.6793, -7.8419
0.11, 0.015388, -0.10843, -0.04782, 0.1754, 0.10996, 0.13332, -0.48547, 0.48547, 7.07, 29.4416, 0, 0, 17.5857, -37.1796, 0.060538, 1.6252, 24.6556, -7.738
0.12, 0.009242, -0.10831, -0.029767, 0.17502, 0.10581, 0.13114, -0.48548, 0.48548, 7.0774, 29.4129, 0, 0, 17.6278, -37.5524, 0.060516, 1.6252, 24.7052, -8.1394
0.13, 0.010612, -0.1082, -0.034201, 0.17466, 0.10179, 0.12902, -0.48548, 0.48548, 7.0753, 29.4273, 0, 0, 17.5877, -37.3013, 0.060497, 1.6252, 24.663, -7.874
0.14, 0.0048009, -0.10812, -0.01638, 0.1744, 0.097884, 0.12697, -0.48548, 0.48548, 7.0807, 29.4041, 0, 0, 17.6226, -37.6086, 0.060486, 1.6253, 24.7033, -8.2045
