time, dqAnkle, qAnkle, dqHip, qHip, ActivationTA, ActivationGAS, ActivationIP, ActivationGM, AnkleTorque, HipTorque, FloorAngle, FloorVel, StiffnessAnkle, StiffnessHip, COM X, Head Z, Total Ankle Torque, Total Hip Torque
0, 0.003425, -0.11, -0.0089288, 0.18, 0.16698, 0.22093, 0.089, -0.089, 12.2712, -1.1142, 0, 0, 17.9762, -39.2207, 0.060907, 1.6249, 30.2474, -40.3349
0.01, 0.019672, -0.10991, -0.052127, 0.17976, 0.19427, 0.18445, -0.46438, 0.46438, 7.6721, 28.136, 0, 0, 17.8274, -38.2825, 0.060878, 1.6249, 25.4995, -10.1465
0.02, 0.019139, -0.10973, -0.049305, 0.17929, 0.19031, 0.17578, -0.48484, 0.48484, 7.078, 29.3716, 0, 0, 17.7855, -38.1173, 0.060821, 1.6249, 24.8635, -8.7457
0.03, 0.018605, -0.10955, -0.049582, 0.17884, 0.18387, 0.17221, -0.4854, 0.4854, 7.064, 29.4046, 0, 0, 17.7677, -38.0746, 0.060765, 1.625, 24.8317, -8.67
0.04, 0.013673, -0.10939, -0.035847, 0.17841, 0.17755, 0.16888, -0.48542, 0.48542, 7.0683, 29.3977, 0, 0, 17.7671, -38.1401, 0.060717, 1.625, 24.8354, -8.7424
0.05, 0.014027, -0.10926, -0.038398, 0.17806, 0.17142, 0.16565, -0.48543, 0.48543, 7.069, 29.4015, 0, 0, 17.7475, -38.0479, 0.060679, 1.625, 24.8166, -8.6465
0.06, 0.012067, -0.10913, -0.032475, 0.17771, 0.16546, 0.16252, -0.48543, 0.48543, 7.0711, 29.3995, 0, 0, 17.7372, -38.0387, 0.060643, 1.625, 24.8083, -8.6392
0.07, 0.0086422, -0.10903, -0.019898, 0.17745, 0.15968, 0.15948, -0.48543, 0.48543, 7.0756, 29.3825, 0, 0, 17.749, -38.2576, 0.060608, 1.6251, 24.8246, -8.8751
0.08, 0.0071478, -0.10896, -0.015056, 0.17729, 0.15407, 0.15653, -0.48544, 0.48544, 7.0787, 29.3719, 0, 0, 17.7572, -38.3959, 0.060576, 1.6251, 24.8359, -9.024
0.09, 0.0084629, -0.10889, -0.019556, 0.17715, 0.14863, 0.15366, -0.48544, 0.48544, 7.0767, 29.3827, 0, 0, 17.7302, -38.2257, 0.060547, 1.6251, 24.8068, -8.843
0.1, 0.0085946, -0.1088, -0.020741, 0.17693, 0.14334, 0.15088, -0.48545, 0.48545, 7.0766, 29.3861, 0, 0, 17.7129, -38.1522, 0.060514, 1.6251, 24.7895, -8.766
0.11, 0.0078745, -0.10872, -0.01788, 0.17674, 0.13821, 0.14819, -0.48545, 0.48545, 7.0774, 29.385, 0, 0, 17.7036, -38.1474, 0.060482, 1.6251, 24.781, -8.7624
0.12, 0.0017444, -0.10865, -0.00040858, 0.1766, 0.13323, 0.14557, -0.48545, 0.48545, 7.0828, 29.3662, 0, 0, 17.7336, -38.4072, 0.060455, 1.6251, 24.8164, -9.041
0.13, -0.002103, -0.10866, 0.012374, 0.17667, 0.1284, 0.14302, -0.48546, 0.48546, 7.0873, 29.3463, 0, 0, 17.7708, -38.7095, 0.060444, 1.6251, 24.8581, -9.3632
0.14, -0.001547, -0.10867, 0.0077723, 0.17675, 0.12371, 0.14056, -0.48546, 0.48546, 7.0858, 29.3536, 0, 0, 17.7618, -38.6153, 0.060433, 1.6251, 24.8476, -9.2617
