time, dqAnkle, qAnkle, dqHip, qHip, ActivationTA, ActivationGAS, ActivationIP, ActivationGM, AnkleTorque, HipTorque, FloorAngle, FloorVel, StiffnessAnkle, StiffnessHip, COM X, Head Z, Total Ankle Torque, Total Hip Torque
0, 0.0038462, -0.11, -0.010373, 0.18, 0.2447, 0.16032, -0.075981, 0.075981, 3.1333, 4.8021, 0, 0, 17.9762, -39.2207, 0.060907, 1.6249, 21.1094, -34.4186
0.01, 0.016708, -0.10991, -0.045547, 0.17976, 0.22406, 0.19872, -0.46867, 0.46867, 7.5441, 28.3956, 0, 0, 17.831, -38.2525, 0.060883, 1.6249, 25.3751, -9.8569
0.02, 0.021102, -0.10972, -0.058263, 0.17923, 0.21867, 0.19066, -0.48492, 0.48492, 7.0701, 29.3904, 0, 0, 17.768, -37.9108, 0.060831, 1.6249, 24.8381, -8.5204
0.03, 0.020367, -0.10952, -0.056295, 0.17867, 0.21138, 0.18668, -0.48538, 0.48538, 7.0592, 29.4174, 0, 0, 17.7439, -37.8524, 0.060775, 1.625, 24.8031, -8.435
0.04, 0.020327, -0.10932, -0.056944, 0.17811, 0.20425, 0.18293, -0.4854, 0.4854, 7.0598, 29.4236, 0, 0, 17.7111, -37.7103, 0.060721, 1.625, 24.771, -8.2868
0.05, 0.016835, -0.10912, -0.047252, 0.17756, 0.19733, 0.17929, -0.48541, 0.48541, 7.0623, 29.4233, 0, 0, 17.6885, -37.6516, 0.060671, 1.6251, 24.7508, -8.2282
0.06, 0.022334, -0.10893, -0.062398, 0.17702, 0.19061, 0.17575, -0.48541, 0.48541, 7.0577, 29.4415, 0, 0, 17.6238, -37.3273, 0.060617, 1.6251, 24.6815, -7.8858
0.07, 0.015011, -0.10873, -0.039571, 0.17649, 0.18409, 0.17232, -0.48542, 0.48542, 7.067, 29.4176, 0, 0, 17.6441, -37.6131, 0.060561, 1.6251, 24.7112, -8.1956
0.08, 0.0090452, -0.10861, -0.021851, 0.17617, 0.17776, 0.16899, -0.48542, 0.48542, 7.0758, 29.3935, 0, 0, 17.6769, -37.9283, 0.060523, 1.6251, 24.7527, -8.5347
0.09, 0.0031451, -0.10857, -0.0050681, 0.1761, 0.17162, 0.16576, -0.48543, 0.48543, 7.0821, 29.3732, 0, 0, 17.7104, -38.2178, 0.060502, 1.6252, 24.7925, -8.8446
0.1, 0.0016302, -0.10855, 0.00082269, 0.17608, 0.16566, 0.16262, -0.48543, 0.48543, 7.086, 29.3585, 0, 0, 17.7331, -38.4347, 0.060485, 1.6252, 24.819, -9.0762
0.11, 0.003791, -0.10852, -0.0045884, 0.17607, 0.15987, 0.15958, -0.48543, 0.48543, 7.0825, 29.3694, 0, 0, 17.7055, -38.277, 0.060463, 1.6252, 24.788, -8.9076
0.12, 0.001008, -0.1085, 0.0018787, 0.17605, 0.15426, 0.15663, -0.48544, 0.48544, 7.0858, 29.3607, 0, 0, 17.7245, -38.4059, 0.060444, 1.6252, 24.8103, -9.0452
0.13, 0.0024525, -0.10847, -0.0048171, 0.17601, 0.14881, 0.15376, -0.48544, 0.48544, 7.0835, 29.3715, 0, 0, 17.7042, -38.247, 0.060428, 1.6252, 24.7876, -8.8755
0.14, 0.0040646, -0.10847, -0.011377, 0.17602, 0.14352, 0.15098, -0.48545, 0.48545, 7.0851, 29.3684, 0, 0, 17.7164, -38.2967, 0.060424, 1.6252, 24.8015, -8.9282
0.15, -0.0082169, -0.10848, 0.024544, 0.17604, 0.13838, 0.14827, -0.48545, 0.48545, 7.092, 29.3416, 0, 0, 17.7705, -38.6916, 0.060424, 1.6252, 24.8625, -9.35
0.16, -0.010849, -0.10856, 0.032586, 0.17629, 0.13276, 0.14694, -0.48381, 0.48381, 7.2426, 29.2243, 0, 0, 17.8187, -39.004, 0.060443, 1.6251, 25.0612, -9.7797
0.17, -0.015394, -0.10869, 0.046726, 0.17668, 0.12744, 0.14559, -0.48205, 0.48205, 7.3758, 29.0976, 0, 0, 17.8724, -39.3548, 0.06047, 1.6251, 25.2482, -10.2571
0.18, -0.013018, -0.10883, 0.038637, 0.17711, 0.12275, 0.14341, -0.48076, 0.48076, 7.401, 29.0222, 0, 0, 17.8911, -39.3885, 0.060501, 1.6251, 25.292, -10.3662
0.19, -0.015245, -0.10896, 0.045258, 0.17751, 0.1177, 0.14227, -0.47974, 0.47974, 7.5368, 28.9579, 0, 0, 17.9141, -39.4864, 0.06053, 1.6251, 25.4509, -10.5285
0.2, -0.012433, -0.1091, 0.039847, 0.17793, 0.11311, 0.14052, -0.47873, 0.47873, 7.5957, 28.8933, 0, 0, 17.9322, -39.5933, 0.060557, 1.625, 25.5279, -10.7
0.21, -0.0098618, -0.10921, 0.032674, 0.17828, 0.10916, 0.13786, -0.47711, 0.47711, 7.5385, 28.8126, 0, 0, 17.9109, -39.3968, 0.060574, 1.625, 25.4494, -10.5842
0.22, -0.0060987, -0.10927, 0.02203, 0.17851, 0.10578, 0.13443, -0.47579, 0.47579, 7.3877, 28.738, 0, 0, 17.9099, -39.3606, 0.06058, 1.625, 25.2976, -10.6227
0.23, -0.0036645, -0.10932, 0.016783, 0.17869, 0.10224, 0.13139, -0.47557, 0.47557, 7.279, 28.7331, 0, 0, 17.8945, -39.2634, 0.060578, 1.625, 25.1736, -10.5304
0.24, -0.0035704, -0.10936, 0.017245, 0.17888, 0.099152, 0.12769, -0.47576, 0.47576, 7.0927, 28.7344, 0, 0, 17.9155, -39.4362, 0.060574, 1.625, 25.0082, -10.7019
0.25, -0.0013778, -0.10939, 0.010026, 0.17902, 0.096192, 0.12401, -0.47536, 0.47536, 6.898, 28.7284, 0, 0, 17.8843, -39.183, 0.060566, 1.625, 24.7823, -10.4545
0.26, 0.00045576, -0.10939, 0.0057877, 0.17909, 0.09255, 0.12191, -0.47513, 0.47513, 6.8798, 28.7183, 0, 0, 17.8729, -39.1376, 0.06055, 1.625, 24.7527, -10.4193
0.27, 0.0036995, -0.10937, -0.00311, 0.1791, 0.088577, 0.1207, -0.47552, 0.47552, 6.957, 28.7529, 0, 0, 17.8467, -38.9741, 0.060528, 1.625, 24.8037, -10.2211
0.28, 0.0035721, -0.10934, -0.0027152, 0.17908, 0.084185, 0.12055, -0.47576, 0.47576, 7.1528, 28.7607, 0, 0, 17.8545, -39.07, 0.060502, 1.625, 25.0073, -10.3093
