time, dqAnkle, qAnkle, dqHip, qHip, ActivationTA, ActivationGAS, ActivationIP, ActivationGM, AnkleTorque, HipTorque, FloorAngle, FloorVel, StiffnessAnkle, StiffnessHip, COM X, Head Z, Total Ankle Torque, Total Hip Torque
0, 0.00013861, -0.11, 0.0002296, 0.18, 0.16599, 0.17665, -0.11386, 0.11386, 8.3312, 7.0719, 0, 0, 17.9762, -39.2207, 0.060907, 1.6249, 26.3074, -32.1488
0.01, 0.006911, -0.10996, -0.018276, 0.17989, 0.17009, 0.16992, -0.47002, 0.47002, 7.5223, 28.4402, 0, 0, 17.913, -38.815, 0.060893, 1.6249, 25.4353, -10.3747
0.02, 0.00082656, -0.10991, 0.00075723, 0.17978, 0.16612, 0.163, -0.48502, 0.48502, 7.0949, 29.3127, 0, 0, 17.9541, -39.192, 0.060874, 1.6249, 25.0491, -9.8793
0.03, 0.0027278, -0.1099, -0.006247, 0.17978, 0.16037, 0.15985, -0.48542, 0.48542, 7.0826, 29.3406, 0, 0, 17.9499, -39.1405, 0.060867, 1.6249, 25.0324, -9.7999
0.04, 0.0017011, -0.10988, -0.0036261, 0.17973, 0.15474, 0.15688, -0.48544, 0.48544, 7.0821, 29.3439, 0, 0, 17.9459, -39.0992, 0.060858, 1.6249, 25.028, -9.7553
0.05, 0.0024142, -0.10985, -0.0044784, 0.17965, 0.14928, 0.15401, -0.48544, 0.48544, 7.0824, 29.3409, 0, 0, 17.943, -39.1379, 0.060846, 1.6249, 25.0254, -9.797
0.06, 0.0048328, -0.10981, -0.0095827, 0.17958, 0.14398, 0.15122, -0.48545, 0.48545, 7.0785, 29.3532, 0, 0, 17.9089, -38.9536, 0.060829, 1.6249, 24.9875, -9.6004
0.07, 0.0058984, -0.10975, -0.011895, 0.17946, 0.13883, 0.14851, -0.48545, 0.48545, 7.077, 29.3592, 0, 0, 17.8871, -38.8547, 0.060803, 1.6249, 24.9641, -9.4955
0.08, 0.0061918, -0.10969, -0.012558, 0.17933, 0.13383, 0.14588, -0.48545, 0.48545, 7.0768, 29.3612, 0, 0, 17.8737, -38.8137, 0.060775, 1.6249, 24.9505, -9.4526
0.09, 0.006033, -0.10964, -0.013182, 0.17923, 0.12898, 0.14333, -0.48546, 0.48546, 7.0787, 29.3568, 0, 0, 17.8793, -38.8686, 0.06075, 1.6249, 24.958, -9.5118
0.1, 0.0049064, -0.10958, -0.011101, 0.1791, 0.12428, 0.14085, -0.48546, 0.48546, 7.079, 29.359, 0, 0, 17.8717, -38.8235, 0.060728, 1.625, 24.9507, -9.4645
0.11, 0.00010801, -0.10955, 0.0043649, 0.17905, 0.11971, 0.13845, -0.48547, 0.48547, 7.0822, 29.3452, 0, 0, 17.8932, -39.0224, 0.060713, 1.625, 24.9754, -9.6772
0.12, 0.0016189, -0.10955, -0.00042069, 0.17909, 0.11527, 0.13612, -0.48547, 0.48547, 7.082, 29.3461, 0, 0, 17.8926, -39.0155, 0.060703, 1.625, 24.9747, -9.6694
0.13, -0.0027608, -0.10954, 0.012096, 0.17911, 0.11097, 0.13385, -0.48547, 0.48547, 7.0859, 29.3278, 0, 0, 17.9246, -39.2867, 0.06069, 1.625, 25.0105, -9.9589
0.14, 0.0046131, -0.10954, -0.0098853, 0.17913, 0.10679, 0.13166, -0.48548, 0.48548, 7.0792, 29.3581, 0, 0, 17.866, -38.8521, 0.060679, 1.625, 24.9451, -9.494
0.15, 0.0056053, -0.10948, -0.015064, 0.17899, 0.10274, 0.12952, -0.48548, 0.48548, 7.0789, 29.3648, 0, 0, 17.8538, -38.7408, 0.060662, 1.625, 24.9327, -9.376
0.16, 0.011734, -0.1094, -0.03318, 0.17875, 0.098709, 0.12765, -0.48454, 0.48454, 7.0945, 29.3419, 0, 0, 17.7755, -38.2245, 0.060637, 1.625, 24.87, -8.8826
0.17, 0.013813, -0.10927, -0.038691, 0.17839, 0.096274, 0.12302, -0.48392, 0.48392, 6.7932, 29.3094, 0, 0, 17.7508, -38.1124, 0.060604, 1.625, 24.5441, -8.803
0.18, 0.015251, -0.10913, -0.043281, 0.178, 0.092021, 0.12211, -0.48443, 0.48443, 6.9114, 29.3496, 0, 0, 17.7139, -37.9286, 0.060568, 1.625, 24.6252, -8.579
0.19, 0.016682, -0.10897, -0.05, 0.17752, 0.087797, 0.12141, -0.48457, 0.48457, 7.0469, 29.3749, 0, 0, 17.6681, -37.6217, 0.060531, 1.6251, 24.715, -8.2468
0.2, 0.012932, -0.10883, -0.03865, 0.1771, 0.084859, 0.11853, -0.48398, 0.48398, 6.9297, 29.3259, 0, 0, 17.6745, -37.7635, 0.0605, 1.6251, 24.6042, -8.4376
0.21, 0.0088683, -0.1087, -0.028682, 0.17672, 0.082144, 0.11546, -0.48326, 0.48326, 6.7859, 29.2721, 0, 0, 17.6865, -37.8726, 0.060476, 1.6251, 24.4724, -8.6005
0.22, 0.0056711, -0.10862, -0.018972, 0.17644, 0.079148, 0.11318, -0.48258, 0.48258, 6.726, 29.215, 0, 0, 17.7078, -38.0784, 0.060464, 1.6251, 24.4338, -8.8634
0.23, 0.0050679, -0.10857, -0.017526, 0.17628, 0.076016, 0.1114, -0.48221, 0.48221, 6.7147, 29.1895, 0, 0, 17.7079, -38.1029, 0.060459, 1.6251, 24.4226, -8.9135
0.24, 0.0073234, -0.10851, -0.024339, 0.17607, 0.072679, 0.11023, -0.48231, 0.48231, 6.7653, 29.2089, 0, 0, 17.6755, -37.8818, 0.060452, 1.6252, 24.4408, -8.673
0.25, 0.0029852, -0.10846, -0.012199, 0.17588, 0.068912, 0.1101, -0.48234, 0.48234, 6.9354, 29.1965, 0, 0, 17.6994, -38.067, 0.060447, 1.6252, 24.6348, -8.8705
0.26, 0.0027521, -0.10844, -0.010304, 0.1758, 0.066714, 0.10719, -0.4822, 0.4822, 6.7785, 29.1819, 0, 0, 17.7072, -38.1512, 0.060451, 1.6252, 24.4857, -8.9693
0.27, 0.0034523, -0.10841, -0.012986, 0.17567, 0.063875, 0.10571, -0.48245, 0.48245, 6.7787, 29.2034, 0, 0, 17.69, -38.0358, 0.060448, 1.6252, 24.4686, -8.8324
0.28, 0.00099186, -0.10838, -0.0057857, 0.17557, 0.061873, 0.10284, -0.48223, 0.48223, 6.616, 29.1849, 0, 0, 17.6972, -38.1024, 0.06045, 1.6252, 24.3132, -8.9175
0.29, -0.0016473, -0.10838, -0.0002999, 0.17552, 0.058303, 0.10315, -0.48239, 0.48239, 6.8152, 29.1855, 0, 0, 17.7216, -38.2312, 0.060459, 1.6252, 24.5368, -9.0457
0.3, -0.0035546, -0.10841, 0.0051012, 0.17557, 0.054401, 0.1043, -0.48254, 0.48254, 7.1055, 29.1809, 0, 0, 17.7551, -38.432, 0.06048, 1.6252, 24.8606, -9.2511
0.31, -0.0053909, -0.10848, 0.012879, 0.17573, 0.051332, 0.10409, -0.48168, 0.48168, 7.2332, 29.1137, 0, 0, 17.7874, -38.6789, 0.060507, 1.6252, 25.0206, -9.5652
0.32, -0.0077211, -0.10856, 0.020599, 0.17592, 0.048471, 0.10372, -0.4808, 0.4808, 7.3364, 29.0576, 0, 0, 17.8054, -38.7592, 0.060531, 1.6252, 25.1418, -9.7017
0.33, -0.0056169, -0.10862, 0.01508, 0.17608, 0.046023, 0.10278, -0.47978, 0.47978, 7.3642, 29.0097, 0, 0, 17.7827, -38.5795, 0.060549, 1.6252, 25.1469, -9.5698
0.34, -0.0082188, -0.1087, 0.021818, 0.17629, 0.042085, 0.10491, -0.47935, 0.47935, 7.7444, 28.9716, 0, 0, 17.8203, -38.7868, 0.060572, 1.6251, 25.5646, -9.8152
0.35, -0.011618, -0.10881, 0.033718, 0.17661, 0.040436, 0.10279, -0.47842, 0.47842, 7.6352, 28.8874, 0, 0, 17.8885, -39.2433, 0.060603, 1.6251, 25.5237, -10.3559
0.36, -0.0094637, -0.10893, 0.030338, 0.17696, 0.037498, 0.10324, -0.47824, 0.47824, 7.813, 28.8825, 0, 0, 17.8834, -39.2024, 0.060629, 1.6251, 25.6964, -10.3198
0.37, -0.0039752, -0.10902, 0.017224, 0.17725, 0.035842, 0.10134, -0.47778, 0.47778, 7.717, 28.8691, 0, 0, 17.8584, -39.0353, 0.060642, 1.6251, 25.5754, -10.1662
0.38, -0.0006362, -0.10903, 0.0077524, 0.17736, 0.03397, 0.099945, -0.47763, 0.47763, 7.6766, 28.879, 0, 0, 17.8184, -38.7678, 0.060631, 1.6251, 25.495, -9.8888
0.39, 0.0051267, -0.10901, -0.009493, 0.17734, 0.031389, 0.10006, -0.47719, 0.47719, 7.8065, 28.8736, 0, 0, 17.7731, -38.4562, 0.060611, 1.6251, 25.5796, -9.5827
0.4, 0.0042743, -0.10896, -0.0065987, 0.17726, 0.029578, 0.098851, -0.47695, 0.47695, 7.7834, 28.8589, 0, 0, 17.7688, -38.4513, 0.060588, 1.6251, 25.5522, -9.5924
0.41, 0.0033827, -0.10891, -0.0034377, 0.17717, 0.02814, 0.097036, -0.47685, 0.47685, 7.6892, 28.8455, 0, 0, 17.7736, -38.5499, 0.06056, 1.6251, 25.4628, -9.7044
0.42, 0.0026078, -0.10887, -0.0013217, 0.17712, 0.026123, 0.096461, -0.47644, 0.47644, 7.7327, 28.8231, 0, 0, 17.7631, -38.5033, 0.060534, 1.6251, 25.4959, -9.6802
0.43, 0.007238, -0.10882, -0.014847, 0.17704, 0.024422, 0.095416, -0.47634, 0.47634, 7.7176, 28.8302, 0, 0, 17.7307, -38.3061, 0.060507, 1.6251, 25.4483, -9.4759
0.44, 0.013254, -0.10873, -0.032975, 0.17685, 0.02219, 0.095499, -0.47682, 0.47682, 7.8281, 28.8822, 0, 0, 17.6739, -37.9379, 0.060472, 1.6251, 25.5019, -9.0557
0.45, 0.01196, -0.10861, -0.029709, 0.17654, 0.020524, 0.09463, -0.47732, 0.47732, 7.8288, 28.9152, 0, 0, 17.6509, -37.853, 0.060429, 1.6251, 25.4796, -8.9377
0.46, 0.0091941, -0.10852, -0.021195, 0.17631, 0.020351, 0.091071, -0.4773, 0.4773, 7.5186, 28.9025, 0, 0, 17.6627, -37.9962, 0.060395, 1.6251, 25.1813, -9.0937
0.47, 0.012812, -0.10841, -0.029837, 0.17607, 0.018963, 0.089944, -0.47769, 0.47769, 7.4816, 28.9356, 0, 0, 17.6219, -37.8225, 0.060353, 1.6252, 25.1034, -8.8869
0.48, 0.011079, -0.1083, -0.027766, 0.17582, 0.017636, 0.088801, -0.47762, 0.47762, 7.4424, 28.932, 0, 0, 17.6148, -37.788, 0.060311, 1.6252, 25.0572, -8.856
0.49, 0.011081, -0.10817, -0.026666, 0.1755, 0.016108, 0.088167, -0.4785, 0.4785, 7.4576, 28.9881, 0, 0, 17.5898, -37.6941, 0.06027, 1.6252, 25.0475, -8.706
0.5, 0.01263, -0.10804, -0.030452, 0.17516, 0.015976, 0.085049, -0.47911, 0.47911, 7.1819, 29.0375, 0, 0, 17.5421, -37.465, 0.060223, 1.6252, 24.7241, -8.4275
0.51, 0.0092387, -0.10793, -0.020126, 0.17491, 0.01571, 0.082305, -0.47924, 0.47924, 6.9507, 29.0213, 0, 0, 17.5763, -37.7871, 0.06018, 1.6252, 24.527, -8.7658
0.52, 0.010698, -0.10783, -0.024899, 0.17468, 0.015295, 0.079893, -0.47893, 0.47893, 6.7522, 29.0135, 0, 0, 17.5406, -37.5983, 0.060141, 1.6253, 24.2928, -8.5848
