time, dqAnkle, qAnkle, dqHip, qHip, ActivationTA, ActivationGAS, ActivationIP, ActivationGM, AnkleTorque, HipTorque, FloorAngle, FloorVel, StiffnessAnkle, StiffnessHip, COM X, Head Z, Total Ankle Torque, Total Hip Torque
0, 0.0019132, -0.11, -0.0051379, 0.18, 0.42667, 0.28057, -0.17962, 0.17962, 5.3463, 11.0127, 0, 0, 17.9762, -39.2207, 0.060907, 1.6249, 23.3225, -28.208
0.01, 0.0072407, -0.10996, -0.019824, 0.17989, 0.40951, 0.29591, -0.46991, 0.46991, 7.5246, 28.4321, 0, 0, 17.9163, -38.8312, 0.060894, 1.6249, 25.4409, -10.3992
0.02, 0.010801, -0.10988, -0.030327, 0.17967, 0.39849, 0.28528, -0.48474, 0.48474, 7.0805, 29.3401, 0, 0, 17.8715, -38.5421, 0.060874, 1.6249, 24.952, -9.202
0.03, 0.013229, -0.10976, -0.037794, 0.17934, 0.38592, 0.27851, -0.48524, 0.48524, 7.0601, 29.3851, 0, 0, 17.8289, -38.278, 0.060844, 1.6249, 24.889, -8.8929
0.04, 0.0075667, -0.10963, -0.022535, 0.17896, 0.37366, 0.27205, -0.48526, 0.48526, 7.0698, 29.3716, 0, 0, 17.8415, -38.4503, 0.060812, 1.625, 24.9113, -9.0787
0.05, 0.0058989, -0.10957, -0.01592, 0.17877, 0.36175, 0.26579, -0.48527, 0.48527, 7.0774, 29.3579, 0, 0, 17.8577, -38.6357, 0.060795, 1.625, 24.9351, -9.2778
0.06, 0.0085083, -0.10952, -0.023836, 0.17864, 0.35019, 0.25971, -0.48528, 0.48528, 7.0763, 29.3625, 0, 0, 17.8449, -38.5616, 0.06078, 1.625, 24.9211, -9.1991
0.07, 0.013621, -0.10942, -0.036747, 0.17836, 0.33898, 0.25381, -0.48529, 0.48529, 7.0645, 29.3875, 0, 0, 17.7802, -38.1721, 0.060751, 1.625, 24.8447, -8.7846
0.08, 0.01285, -0.10928, -0.034746, 0.178, 0.32809, 0.24808, -0.4853, 0.4853, 7.0652, 29.3893, 0, 0, 17.7577, -38.108, 0.060711, 1.625, 24.8229, -8.7186
0.09, 0.011031, -0.10916, -0.030621, 0.17767, 0.31752, 0.24252, -0.48531, 0.48531, 7.0709, 29.3841, 0, 0, 17.7595, -38.1526, 0.060677, 1.625, 24.8304, -8.7686
