time, dqAnkle, qAnkle, dqHip, qHip, ActivationTA, ActivationGAS, ActivationIP, ActivationGM, AnkleTorque, HipTorque, FloorAngle, FloorVel, StiffnessAnkle, StiffnessHip, COM X, Head Z, Total Ankle Torque, Total Hip Torque
0, 0.0028331, -0.11, -0.0067751, 0.18, 0.1041, 0.17364, -0.040527, 0.040527, 10.9907, 2.6777, 0, 0, 17.9762, -39.2207, 0.060907, 1.6249, 28.9668, -36.5431
0.01, 0.0097306, -0.10995, -0.023626, 0.17989, 0.12352, 0.14594, -0.46841, 0.46841, 7.5684, 28.3432, 0, 0, 17.903, -38.8203, 0.060888, 1.6249, 25.4714, -10.477
0.02, 0.0068229, -0.10986, -0.016435, 0.17965, 0.12113, 0.13934, -0.48503, 0.48503, 7.089, 29.3379, 0, 0, 17.8976, -38.8173, 0.060854, 1.6249, 24.9867, -9.4794
0.03, 0.004752, -0.10982, -0.010766, 0.17959, 0.11671, 0.13688, -0.48546, 0.48546, 7.0799, 29.349, 0, 0, 17.9204, -39.0235, 0.060836, 1.6249, 25.0003, -9.6745
0.04, 0.0062139, -0.10977, -0.017797, 0.17947, 0.11237, 0.13459, -0.48547, 0.48547, 7.0788, 29.3595, 0, 0, 17.9055, -38.8699, 0.06082, 1.6249, 24.9844, -9.5104
0.05, 0.010791, -0.10971, -0.030226, 0.17928, 0.10815, 0.13237, -0.48547, 0.48547, 7.074, 29.3827, 0, 0, 17.8515, -38.5116, 0.060803, 1.6249, 24.9255, -9.1289
0.06, 0.011326, -0.10959, -0.031498, 0.17896, 0.10406, 0.13022, -0.48548, 0.48548, 7.0729, 29.3903, 0, 0, 17.821, -38.3662, 0.060774, 1.625, 24.8939, -8.976
0.07, 0.0091669, -0.10949, -0.025393, 0.17869, 0.10009, 0.12813, -0.48548, 0.48548, 7.0775, 29.3736, 0, 0, 17.843, -38.5784, 0.060745, 1.625, 24.9205, -9.2049
0.08, 0.0068288, -0.1094, -0.018541, 0.17843, 0.096229, 0.1261, -0.48548, 0.48548, 7.0763, 29.3814, 0, 0, 17.8144, -38.4351, 0.060718, 1.625, 24.8907, -9.0537
0.09, 0.002031, -0.10935, -0.0060805, 0.17831, 0.092486, 0.12413, -0.48549, 0.48549, 7.0805, 29.3637, 0, 0, 17.846, -38.6809, 0.060704, 1.625, 24.9265, -9.3172
0.1, 0.0045339, -0.10932, -0.011591, 0.17821, 0.088854, 0.12222, -0.48549, 0.48549, 7.0808, 29.3616, 0, 0, 17.8429, -38.7019, 0.060695, 1.625, 24.9237, -9.3404
0.11, 0.0041409, -0.10929, -0.0090142, 0.17813, 0.085328, 0.12036, -0.48549, 0.48549, 7.0794, 29.3675, 0, 0, 17.8231, -38.6086, 0.060682, 1.625, 24.9025, -9.2411
0.12, 0.0076351, -0.10923, -0.019546, 0.17799, 0.081906, 0.11856, -0.48549, 0.48549, 7.0757, 29.3881, 0, 0, 17.7751, -38.2941, 0.060661, 1.625, 24.8507, -8.906
0.13, 0.0071321, -0.10915, -0.018787, 0.1778, 0.078585, 0.11682, -0.4855, 0.4855, 7.0783, 29.3783, 0, 0, 17.7885, -38.4149, 0.060637, 1.625, 24.8668, -9.0365
0.14, 0.0052627, -0.10907, -0.015951, 0.17756, 0.075361, 0.11512, -0.4855, 0.4855, 7.0787, 29.3824, 0, 0, 17.7766, -38.3291, 0.060615, 1.6251, 24.8553, -8.9467
0.15, 0.0077288, -0.10902, -0.022811, 0.17742, 0.072233, 0.11347, -0.4855, 0.4855, 7.0786, 29.3841, 0, 0, 17.7674, -38.2886, 0.060606, 1.6251, 24.8461, -8.9045
0.16, 0.0046058, -0.10894, -0.014346, 0.17718, 0.070507, 0.1094, -0.48376, 0.48376, 6.7933, 29.2814, 0, 0, 17.7546, -38.2362, 0.060588, 1.6251, 24.5479, -8.9548
0.17, 0.00048176, -0.10892, -0.0020718, 0.17713, 0.066978, 0.109, -0.48321, 0.48321, 6.9285, 29.2293, 0, 0, 17.7892, -38.5026, 0.060585, 1.6251, 24.7176, -9.2733
0.18, -0.0055946, -0.10895, 0.015179, 0.17719, 0.064712, 0.10637, -0.48345, 0.48345, 6.8021, 29.2227, 0, 0, 17.8343, -38.8155, 0.060594, 1.6251, 24.6364, -9.5928
0.19, -0.009537, -0.10901, 0.030148, 0.17737, 0.060363, 0.10791, -0.48389, 0.48389, 7.1506, 29.2203, 0, 0, 17.8916, -39.2585, 0.060608, 1.6251, 25.0422, -10.0381
0.2, -0.010831, -0.1091, 0.034438, 0.17765, 0.057105, 0.10759, -0.48338, 0.48338, 7.277, 29.1832, 0, 0, 17.9145, -39.3932, 0.060623, 1.625, 25.1916, -10.2101
0.21, -0.001439, -0.10916, 0.0038631, 0.17785, 0.054443, 0.1064, -0.48231, 0.48231, 7.2894, 29.1566, 0, 0, 17.8571, -38.8693, 0.060637, 1.625, 25.1465, -9.7127
0.22, -0.0027019, -0.10919, 0.0089867, 0.17792, 0.052221, 0.10453, -0.48183, 0.48183, 7.228, 29.1144, 0, 0, 17.8826, -39.0723, 0.060643, 1.625, 25.1106, -9.9578
0.23, -0.0059813, -0.10924, 0.020693, 0.17809, 0.049446, 0.10388, -0.48126, 0.48126, 7.3022, 29.0692, 0, 0, 17.906, -39.2563, 0.060651, 1.625, 25.2082, -10.1871
0.24, -0.0010543, -0.10928, 0.0076463, 0.17824, 0.047403, 0.10197, -0.4814, 0.4814, 7.2223, 29.1003, 0, 0, 17.8633, -38.942, 0.060652, 1.625, 25.0857, -9.8417
0.25, -0.0017663, -0.10928, 0.0079009, 0.17828, 0.045366, 0.1002, -0.48106, 0.48106, 7.1601, 29.0784, 0, 0, 17.8672, -38.9674, 0.060645, 1.625, 25.0273, -9.889
0.26, -0.0051721, -0.10933, 0.019319, 0.17844, 0.043671, 0.097949, -0.48054, 0.48054, 7.0401, 29.0278, 0, 0, 17.9086, -39.275, 0.060647, 1.625, 24.9487, -10.2472
0.27, 0.00027191, -0.10935, 0.0036155, 0.17856, 0.041052, 0.097629, -0.47998, 0.47998, 7.132, 29.0136, 0, 0, 17.8698, -38.9997, 0.060643, 1.625, 25.0018, -9.9861
0.28, -0.0020476, -0.10936, 0.0098082, 0.17862, 0.038605, 0.097152, -0.47976, 0.47976, 7.2063, 28.9913, 0, 0, 17.8918, -39.1409, 0.060634, 1.625, 25.0981, -10.1496
0.29, -0.0029578, -0.10939, 0.013636, 0.17877, 0.035429, 0.098234, -0.47974, 0.47974, 7.4552, 28.9805, 0, 0, 17.9119, -39.3066, 0.060629, 1.625, 25.3671, -10.326
0.3, -0.0030313, -0.1094, 0.014656, 0.17886, 0.03339, 0.097267, -0.47972, 0.47972, 7.4632, 28.9876, 0, 0, 17.8937, -39.1897, 0.060618, 1.625, 25.3569, -10.202
0.31, 0.001759, -0.10941, 0.0019323, 0.17894, 0.031237, 0.096691, -0.47901, 0.47901, 7.5117, 28.9551, 0, 0, 17.8725, -39.0585, 0.060606, 1.625, 25.3842, -10.1033
0.32, 0.00016236, -0.10941, 0.0075812, 0.17901, 0.030141, 0.094193, -0.47919, 0.47919, 7.3393, 28.959, 0, 0, 17.8821, -39.1657, 0.060589, 1.625, 25.2214, -10.2067
0.33, 0.0054673, -0.10938, -0.0071461, 0.17901, 0.028534, 0.092808, -0.47971, 0.47971, 7.2872, 29.0131, 0, 0, 17.8275, -38.8244, 0.060561, 1.625, 25.1147, -9.8113
0.34, 0.0013596, -0.10936, 0.0060115, 0.17905, 0.028417, 0.088748, -0.47959, 0.47959, 6.9308, 28.9772, 0, 0, 17.8775, -39.2513, 0.060534, 1.625, 24.8083, -10.274
0.35, -0.0036183, -0.10937, 0.01959, 0.17917, 0.027423, 0.086534, -0.48017, 0.48017, 6.7791, 29.0074, 0, 0, 17.8905, -39.3336, 0.060513, 1.625, 24.6696, -10.3262
0.36, 0.0048026, -0.10936, -0.0054903, 0.17922, 0.02379, 0.089422, -0.48118, 0.48118, 7.2079, 29.0946, 0, 0, 17.8373, -38.9468, 0.06049, 1.625, 25.0452, -9.8522
0.37, 0.0077908, -0.10931, -0.013559, 0.17916, 0.022887, 0.087193, -0.48089, 0.48089, 7.0488, 29.0867, 0, 0, 17.807, -38.8031, 0.060458, 1.625, 24.8558, -9.7164
0.38, 0.012103, -0.10922, -0.027462, 0.17898, 0.022317, 0.08447, -0.48096, 0.48096, 6.828, 29.1163, 0, 0, 17.7476, -38.4091, 0.060416, 1.625, 24.5756, -9.2928
0.39, 0.014538, -0.10908, -0.03502, 0.17864, 0.020901, 0.083463, -0.48081, 0.48081, 6.804, 29.116, 0, 0, 17.7122, -38.2435, 0.060363, 1.625, 24.5161, -9.1275
0.4, 0.01214, -0.10894, -0.027797, 0.17831, 0.019128, 0.083217, -0.48088, 0.48088, 6.8662, 29.1215, 0, 0, 17.6909, -38.1843, 0.06031, 1.625, 24.5571, -9.0628
0.41, 0.013466, -0.1088, -0.032675, 0.17798, 0.018619, 0.080701, -0.48126, 0.48126, 6.6642, 29.1476, 0, 0, 17.6701, -38.0894, 0.060261, 1.625, 24.3342, -8.9418
