time, dqAnkle, qAnkle, dqHip, qHip, ActivationTA, ActivationGAS, ActivationIP, ActivationGM, AnkleTorque, HipTorque, FloorAngle, FloorVel, StiffnessAnkle, StiffnessHip, COM X, Head Z, Total Ankle Torque, Total Hip Torque
0, 0.0040761, -0.11, -0.011391, 0.18, 0.42006, 0.24222, -0.057203, 0.057203, 2.2057, 3.6769, 0, 0, 17.9762, -39.2207, 0.060907, 1.6249, 20.1818, -35.5438
0.01, 0.0085026, -0.10993, -0.021664, 0.17982, 0.3912, 0.28749, -0.46609, 0.46609, 7.6288, 28.2098, 0, 0, 17.8953, -38.7218, 0.060888, 1.6249, 25.5241, -10.512
0.02, 0.0089885, -0.10983, -0.022589, 0.17956, 0.38121, 0.27623, -0.48464, 0.48464, 7.0852, 29.33, 0, 0, 17.8662, -38.5873, 0.060855, 1.6249, 24.9514, -9.2573
0.03, 0.0060409, -0.10976, -0.014284, 0.17937, 0.36916, 0.26969, -0.48525, 0.48525, 7.0778, 29.3491, 0, 0, 17.8903, -38.8145, 0.060828, 1.6249, 24.9681, -9.4654
0.04, 0.0021162, -0.10971, -0.0034476, 0.17927, 0.35739, 0.26349, -0.48528, 0.48528, 7.0793, 29.3492, 0, 0, 17.89, -38.8255, 0.06081, 1.6249, 24.9693, -9.4763
0.05, -0.0034374, -0.10971, 0.010547, 0.17928, 0.34596, 0.25748, -0.48529, 0.48529, 7.0929, 29.3252, 0, 0, 17.9425, -39.1843, 0.060805, 1.6249, 25.0354, -9.8592
0.06, -0.0029369, -0.10973, 0.0087462, 0.17935, 0.33487, 0.25164, -0.4853, 0.4853, 7.0945, 29.3226, 0, 0, 17.9548, -39.238, 0.06081, 1.6249, 25.0492, -9.9154
0.07, -0.0040105, -0.10978, 0.011608, 0.17949, 0.3241, 0.24598, -0.4853, 0.4853, 7.0979, 29.3131, 0, 0, 17.9789, -39.4014, 0.060821, 1.6249, 25.0768, -10.0883
0.08, -0.008388, -0.10984, 0.025425, 0.17967, 0.31365, 0.24048, -0.48531, 0.48531, 7.1052, 29.2947, 0, 0, 18.0225, -39.6981, 0.060834, 1.6249, 25.1277, -10.4035
0.09, -0.0045248, -0.10989, 0.014209, 0.17984, 0.30351, 0.23515, -0.48532, 0.48532, 7.0911, 29.3227, 0, 0, 17.9739, -39.3183, 0.060844, 1.6249, 25.0651, -9.9956
0.1, -0.0048019, -0.10995, 0.015703, 0.18003, 0.29367, 0.22997, -0.48533, 0.48533, 7.0976, 29.3052, 0, 0, 18.0152, -39.6033, 0.060855, 1.6249, 25.1128, -10.2981
0.11, -0.0060961, -0.11001, 0.019621, 0.18021, 0.28412, 0.22494, -0.48534, 0.48534, 7.0934, 29.3131, 0, 0, 18.0082, -39.5161, 0.060864, 1.6249, 25.1016, -10.203
0.12, -0.0015052, -0.11005, 0.0060872, 0.18035, 0.27484, 0.22007, -0.48534, 0.48534, 7.0929, 29.3121, 0, 0, 18.0155, -39.5546, 0.060871, 1.6249, 25.1084, -10.2424
