time, dqAnkle, qAnkle, dqHip, qHip, ActivationTA, ActivationGAS, ActivationIP, ActivationGM, AnkleTorque, HipTorque, FloorAngle, FloorVel, StiffnessAnkle, StiffnessHip, COM X, Head Z, Total Ankle Torque, Total Hip Torque
0, 0.0036024, -0.11, -0.010798, 0.18, 0.32324, 0.21616, -0.17003, 0.17003, 4.4425, 10.4377, 0, 0, 17.9762, -39.2207, 0.060907, 1.6249, 22.4186, -28.783
0.01, 0.0048674, -0.10997, -0.014826, 0.17991, 0.30474, 0.24052, -0.47074, 0.47074, 7.5022, 28.4786, 0, 0, 17.9276, -38.8837, 0.060899, 1.6249, 25.4298, -10.4051
0.02, 0.0021318, -0.10992, -0.0047084, 0.17977, 0.29671, 0.23171, -0.48489, 0.48489, 7.0957, 29.3149, 0, 0, 17.9432, -39.0484, 0.060886, 1.6249, 25.0389, -9.7336
0.03, -0.0014182, -0.10991, 0.004871, 0.17975, 0.28713, 0.22653, -0.48532, 0.48532, 7.089, 29.3282, 0, 0, 17.9679, -39.2283, 0.060879, 1.6249, 25.0568, -9.9001
0.04, -0.0018818, -0.10994, 0.0076032, 0.17985, 0.27777, 0.2216, -0.48534, 0.48534, 7.0903, 29.3219, 0, 0, 17.9824, -39.3491, 0.060884, 1.6249, 25.0727, -10.0273
0.05, 0.0019814, -0.10993, -0.0035695, 0.17985, 0.26868, 0.21682, -0.48535, 0.48535, 7.0807, 29.3443, 0, 0, 17.9377, -39.0301, 0.060878, 1.6249, 25.0184, -9.6858
0.06, 0.00080181, -0.10991, -0.0023437, 0.17981, 0.25986, 0.21218, -0.48536, 0.48536, 7.0862, 29.3338, 0, 0, 17.9614, -39.1855, 0.060868, 1.6249, 25.0477, -9.8517
0.07, 0.0048719, -0.10988, -0.014182, 0.17973, 0.25131, 0.20768, -0.48536, 0.48536, 7.0777, 29.3569, 0, 0, 17.915, -38.8452, 0.060861, 1.6249, 24.9927, -9.4883
0.08, 0.0073157, -0.10983, -0.019676, 0.1796, 0.243, 0.20331, -0.48537, 0.48537, 7.0763, 29.3583, 0, 0, 17.899, -38.8142, 0.060847, 1.6249, 24.9753, -9.456
0.09, 0.0083247, -0.10976, -0.023319, 0.17939, 0.23494, 0.19907, -0.48538, 0.48538, 7.0752, 29.3656, 0, 0, 17.8797, -38.6869, 0.060827, 1.6249, 24.9548, -9.3213
0.1, 0.0043346, -0.10969, -0.010963, 0.17921, 0.22711, 0.19495, -0.48538, 0.48538, 7.0792, 29.3556, 0, 0, 17.8895, -38.8178, 0.060808, 1.6249, 24.9687, -9.4623
0.11, 0.0019321, -0.10966, -0.0030798, 0.17914, 0.21952, 0.19096, -0.48539, 0.48539, 7.0831, 29.345, 0, 0, 17.9062, -38.9683, 0.060795, 1.6249, 24.9893, -9.6233
0.12, 0.00014934, -0.10965, 0.00088011, 0.17912, 0.21215, 0.18708, -0.48539, 0.48539, 7.0848, 29.3415, 0, 0, 17.9145, -39.0217, 0.060789, 1.6249, 24.9993, -9.6802
0.13, -0.0024899, -0.10966, 0.0086225, 0.17915, 0.20499, 0.18332, -0.4854, 0.4854, 7.0875, 29.3327, 0, 0, 17.932, -39.1586, 0.060787, 1.6249, 25.0195, -9.826
0.14, -0.0023849, -0.10966, 0.0072743, 0.17918, 0.19805, 0.17966, -0.4854, 0.4854, 7.0874, 29.3347, 0, 0, 17.9335, -39.1369, 0.060786, 1.6249, 25.0208, -9.8022
0.15, 0.00099049, -0.10967, -0.0013127, 0.1792, 0.19131, 0.17612, -0.48541, 0.48541, 7.0828, 29.3463, 0, 0, 17.9078, -38.9761, 0.060784, 1.6249, 24.9907, -9.6298
0.16, -0.0015818, -0.10967, 0.0059366, 0.17922, 0.18425, 0.17368, -0.48499, 0.48499, 7.2014, 29.3095, 0, 0, 17.9305, -39.1445, 0.060782, 1.6249, 25.1319, -9.835
0.17, 0.00083187, -0.10966, -0.0014271, 0.17921, 0.17845, 0.16931, -0.48436, 0.48436, 7.0816, 29.2758, 0, 0, 17.9234, -39.083, 0.060779, 1.6249, 25.005, -9.8071
0.18, 0.0028845, -0.10963, -0.0059865, 0.17914, 0.17248, 0.16569, -0.48464, 0.48464, 7.0339, 29.3056, 0, 0, 17.8917, -38.8888, 0.060769, 1.6249, 24.9256, -9.5832
0.19, 0.0049467, -0.1096, -0.011209, 0.17908, 0.16728, 0.16108, -0.48482, 0.48482, 6.8626, 29.3215, 0, 0, 17.8715, -38.8071, 0.060754, 1.625, 24.7341, -9.4856
0.2, 0.00021087, -0.10958, 0.0020432, 0.17904, 0.1611, 0.15874, -0.48454, 0.48454, 6.9502, 29.288, 0, 0, 17.904, -39.046, 0.060738, 1.625, 24.8542, -9.7581
0.21, 0.0030307, -0.10956, -0.0050584, 0.17901, 0.15501, 0.15665, -0.48475, 0.48475, 7.0477, 29.3118, 0, 0, 17.877, -38.8781, 0.060725, 1.625, 24.9247, -9.5663
0.22, 0.012973, -0.10948, -0.032895, 0.17884, 0.14871, 0.15535, -0.48469, 0.48469, 7.2186, 29.3431, 0, 0, 17.7915, -38.3481, 0.060695, 1.625, 25.0101, -9.005
0.23, 0.01422, -0.10934, -0.036265, 0.17849, 0.14424, 0.15098, -0.48374, 0.48374, 7.0357, 29.2962, 0, 0, 17.7562, -38.1638, 0.06065, 1.625, 24.7918, -8.8676
0.24, 0.011733, -0.10922, -0.030714, 0.17819, 0.13838, 0.14967, -0.48348, 0.48348, 7.1988, 29.2703, 0, 0, 17.7639, -38.2691, 0.06061, 1.625, 24.9627, -8.9988
0.25, 0.0042616, -0.10916, -0.0093732, 0.17803, 0.13397, 0.14595, -0.48297, 0.48297, 7.0791, 29.2182, 0, 0, 17.801, -38.5659, 0.060587, 1.625, 24.8801, -9.3477
0.26, 0.0097786, -0.10909, -0.025173, 0.17785, 0.1296, 0.14248, -0.48288, 0.48288, 6.9709, 29.2273, 0, 0, 17.7608, -38.3307, 0.060564, 1.625, 24.7316, -9.1034
0.27, 0.0082253, -0.10899, -0.022279, 0.17759, 0.12464, 0.14047, -0.48313, 0.48313, 7.0263, 29.2422, 0, 0, 17.7556, -38.3086, 0.060536, 1.6251, 24.7819, -9.0664
