time, dqAnkle, qAnkle, dqHip, qHip, ActivationTA, ActivationGAS, ActivationIP, ActivationGM, AnkleTorque, HipTorque, FloorAngle, FloorVel, StiffnessAnkle, StiffnessHip, COM X, Head Z, Total Ankle Torque, Total Hip Torque
0, 0.0039442, -0.11, -0.010226, 0.18, 0.079747, 0.25465, -0.050201, 0.050201, 19.4385, 3.2573, 0, 0, 17.9762, -39.2207, 0.060907, 1.6249, 37.4147, -35.9634
0.01, 0.0045345, -0.10996, -0.011957, 0.17989, 0.13797, 0.15374, -0.46797, 0.46797, 7.5889, 28.3112, 0, 0, 17.9257, -38.905, 0.060895, 1.6249, 25.5145, -10.5938
0.02, 0.0032449, -0.10993, -0.008784, 0.17981, 0.13524, 0.14677, -0.485, 0.485, 7.0934, 29.3242, 0, 0, 17.9412, -39.0119, 0.060886, 1.6249, 25.0346, -9.6878
0.03, -0.0046685, -0.10994, 0.01383, 0.17985, 0.13041, 0.14408, -0.48545, 0.48545, 7.0873, 29.3225, 0, 0, 17.9991, -39.4322, 0.060888, 1.6249, 25.0864, -10.1097
0.04, 0.00086461, -0.10997, -0.0045547, 0.17994, 0.12566, 0.14158, -0.48546, 0.48546, 7.0829, 29.3408, 0, 0, 17.9741, -39.1898, 0.060897, 1.6249, 25.057, -9.849
0.05, -0.00024123, -0.10997, -0.00060252, 0.17991, 0.12105, 0.13916, -0.48546, 0.48546, 7.082, 29.3423, 0, 0, 17.9671, -39.1672, 0.0609, 1.6249, 25.0491, -9.8249
0.06, 0.00305, -0.10995, -0.00997, 0.17982, 0.11658, 0.1368, -0.48547, 0.48547, 7.0795, 29.3558, 0, 0, 17.9419, -38.9639, 0.060898, 1.6249, 25.0213, -9.6082
0.07, -0.0013509, -0.10992, 0.0002801, 0.17972, 0.11224, 0.13452, -0.48547, 0.48547, 7.082, 29.3477, 0, 0, 17.9591, -39.0719, 0.060897, 1.6249, 25.0411, -9.7242
0.08, 0.0033535, -0.1099, -0.014507, 0.17963, 0.10802, 0.1323, -0.48547, 0.48547, 7.0804, 29.3576, 0, 0, 17.9431, -38.9207, 0.060903, 1.6249, 25.0235, -9.5631
0.09, 0.0052738, -0.10985, -0.018328, 0.17944, 0.10393, 0.13015, -0.48548, 0.48548, 7.0772, 29.3718, 0, 0, 17.9062, -38.6929, 0.060902, 1.6249, 24.9834, -9.321
0.1, 0.0090685, -0.10979, -0.03034, 0.17923, 0.099963, 0.12806, -0.48548, 0.48548, 7.0753, 29.3834, 0, 0, 17.877, -38.5016, 0.060895, 1.6249, 24.9523, -9.1182
0.11, 0.0087433, -0.1097, -0.027764, 0.17895, 0.09611, 0.12604, -0.48548, 0.48548, 7.0761, 29.3793, 0, 0, 17.8685, -38.5294, 0.060881, 1.625, 24.9446, -9.1501
0.12, 0.007455, -0.10961, -0.023999, 0.17864, 0.092371, 0.12407, -0.48549, 0.48549, 7.0767, 29.3818, 0, 0, 17.8559, -38.4576, 0.060866, 1.625, 24.9325, -9.0758
0.13, 0.010783, -0.10952, -0.031724, 0.17838, 0.088742, 0.12216, -0.48549, 0.48549, 7.0749, 29.3896, 0, 0, 17.8234, -38.3162, 0.060849, 1.625, 24.8983, -8.9266
0.14, 0.012137, -0.1094, -0.034993, 0.17803, 0.085219, 0.12031, -0.48549, 0.48549, 7.0741, 29.398, 0, 0, 17.7926, -38.1536, 0.06082, 1.625, 24.8667, -8.7556
0.15, 0.013768, -0.10929, -0.040648, 0.17769, 0.081801, 0.11851, -0.48549, 0.48549, 7.0722, 29.4124, 0, 0, 17.7513, -37.9045, 0.060793, 1.625, 24.8235, -8.4921
0.16, 0.016687, -0.10913, -0.049297, 0.17721, 0.078519, 0.1167, -0.48462, 0.48462, 7.0629, 29.378, 0, 0, 17.695, -37.5786, 0.060755, 1.6251, 24.758, -8.2006
0.17, 0.014255, -0.10897, -0.042561, 0.17677, 0.075043, 0.1155, -0.48485, 0.48485, 7.1223, 29.3811, 0, 0, 17.6977, -37.6887, 0.060718, 1.6251, 24.82, -8.3076
0.18, 0.016552, -0.1088, -0.048523, 0.17628, 0.072628, 0.11252, -0.48524, 0.48524, 6.9655, 29.4228, 0, 0, 17.6392, -37.3614, 0.060679, 1.6251, 24.6047, -7.9387
0.19, 0.0080867, -0.10867, -0.024712, 0.17588, 0.068602, 0.11282, -0.48593, 0.48593, 7.1903, 29.4313, 0, 0, 17.6881, -37.7883, 0.060647, 1.6252, 24.8785, -8.357
0.2, 0.0032759, -0.1086, -0.0098854, 0.17568, 0.065987, 0.11064, -0.48535, 0.48535, 7.1213, 29.3815, 0, 0, 17.7089, -37.9799, 0.060634, 1.6252, 24.8302, -8.5984
0.21, 0.0072514, -0.10855, -0.021047, 0.17552, 0.062181, 0.11095, -0.48538, 0.48538, 7.3285, 29.3888, 0, 0, 17.6902, -37.8849, 0.060621, 1.6252, 25.0187, -8.4961
0.22, -0.00065179, -0.10853, 0.0044075, 0.17547, 0.05905, 0.11018, -0.4855, 0.4855, 7.4122, 29.3682, 0, 0, 17.7364, -38.275, 0.060613, 1.6252, 25.1486, -8.9068
0.23, -0.0044355, -0.10855, 0.015049, 0.17557, 0.055553, 0.11031, -0.48571, 0.48571, 7.5922, 29.361, 0, 0, 17.7757, -38.5778, 0.060612, 1.6252, 25.3678, -9.2169
0.24, -0.0042845, -0.1086, 0.013548, 0.17571, 0.052753, 0.10933, -0.48496, 0.48496, 7.636, 29.3196, 0, 0, 17.7803, -38.5432, 0.06062, 1.6252, 25.4163, -9.2236
0.25, -0.0049629, -0.10865, 0.015896, 0.17587, 0.049971, 0.10851, -0.48443, 0.48443, 7.695, 29.2783, 0, 0, 17.8018, -38.7029, 0.06063, 1.6252, 25.4968, -9.4246
0.26, -0.011124, -0.10872, 0.03476, 0.1761, 0.048185, 0.10601, -0.4833, 0.4833, 7.5568, 29.1893, 0, 0, 17.8503, -39.0445, 0.060642, 1.6251, 25.4072, -9.8552
0.27, -0.01048, -0.10883, 0.032807, 0.17645, 0.0452, 0.10597, -0.48284, 0.48284, 7.6944, 29.1648, 0, 0, 17.8604, -39.0406, 0.060662, 1.6251, 25.5548, -9.8759
0.28, -0.010863, -0.10893, 0.031865, 0.17674, 0.043723, 0.10321, -0.48177, 0.48177, 7.5152, 29.0995, 0, 0, 17.8796, -39.0956, 0.060682, 1.6251, 25.3948, -9.9961
0.29, -0.015717, -0.10906, 0.045853, 0.17712, 0.041364, 0.10234, -0.48074, 0.48074, 7.5519, 29.015, 0, 0, 17.943, -39.4765, 0.060714, 1.6251, 25.4949, -10.4614
0.3, -0.014763, -0.10922, 0.04587, 0.1776, 0.038504, 0.10258, -0.48022, 0.48022, 7.7085, 28.9758, 0, 0, 17.9704, -39.6547, 0.060749, 1.625, 25.6789, -10.6789
0.31, -0.006411, -0.10932, 0.019946, 0.17791, 0.035817, 0.10276, -0.47898, 0.47898, 7.8461, 28.936, 0, 0, 17.9191, -39.1829, 0.060767, 1.625, 25.7652, -10.2469
0.32, -0.002569, -0.10937, 0.010809, 0.17808, 0.034099, 0.1012, -0.47802, 0.47802, 7.7845, 28.8928, 0, 0, 17.8918, -38.9945, 0.060776, 1.625, 25.6763, -10.1017
