time, dqAnkle, qAnkle, dqHip, qHip, ActivationTA, ActivationGAS, ActivationIP, ActivationGM, AnkleTorque, HipTorque, FloorAngle, FloorVel, StiffnessAnkle, StiffnessHip, COM X, Head Z, Total Ankle Torque, Total Hip Torque
0, 0.0026243, -0.11, -0.0072069, 0.18, 0.42374, 0.31983, 0.0732, -0.0732, 9.0208, -0.87216, 0, 0, 17.9762, -39.2207, 0.060907, 1.6249, 26.997, -40.0929
0.01, 0.0067308, -0.10995, -0.018896, 0.17985, 0.42918, 0.30904, -0.46135, 0.46135, 7.7721, 27.9238, 0, 0, 17.9056, -38.7556, 0.060893, 1.6249, 25.6776, -10.8318
0.02, 0.0018816, -0.1099, -0.0027641, 0.17974, 0.41868, 0.296, -0.48444, 0.48444, 7.1093, 29.2848, 0, 0, 17.9438, -39.0876, 0.060878, 1.6249, 25.0532, -9.8027
0.03, -0.0048853, -0.10992, 0.015823, 0.1798, 0.40555, 0.28884, -0.48521, 0.48521, 7.1047, 29.2999, 0, 0, 18.0095, -39.5501, 0.060877, 1.6249, 25.1142, -10.2502
0.04, 0.0019773, -0.10996, -0.0035, 0.17994, 0.39271, 0.28208, -0.48525, 0.48525, 7.0899, 29.3243, 0, 0, 17.9697, -39.2427, 0.060882, 1.6249, 25.0596, -9.9184
0.05, -0.0015725, -0.10993, 0.0076706, 0.17989, 0.38024, 0.27552, -0.48526, 0.48526, 7.0911, 29.3208, 0, 0, 17.9712, -39.2978, 0.060871, 1.6249, 25.0624, -9.977
0.06, 0.0027008, -0.10994, -0.0045925, 0.17994, 0.36814, 0.26915, -0.48527, 0.48527, 7.0852, 29.3313, 0, 0, 17.9518, -39.1599, 0.060865, 1.6249, 25.037, -9.8287
0.07, 0.0029562, -0.10991, -0.0035269, 0.1799, 0.3564, 0.26297, -0.48528, 0.48528, 7.083, 29.3338, 0, 0, 17.9395, -39.1268, 0.060849, 1.6249, 25.0225, -9.793
0.08, 0.0021205, -0.1099, -0.0017448, 0.17991, 0.345, 0.25697, -0.48529, 0.48529, 7.0843, 29.3317, 0, 0, 17.943, -39.1663, 0.060834, 1.6249, 25.0273, -9.8346
0.09, -0.0014751, -0.10989, 0.007104, 0.17991, 0.33393, 0.25115, -0.4853, 0.4853, 7.0883, 29.3257, 0, 0, 17.9572, -39.2621, 0.060821, 1.6249, 25.0455, -9.9364
