time, dqAnkle, qAnkle, dqHip, qHip, ActivationTA, ActivationGAS, ActivationIP, ActivationGM, AnkleTorque, HipTorque, FloorAngle, FloorVel, StiffnessAnkle, StiffnessHip, COM X, Head Z, Total Ankle Torque, Total Hip Torque
0, 0.003989, -0.11, -0.011219, 0.18, 0.34243, 0.39456, -0.13204, 0.13204, 19.6, 8.1611, 0, 0, 17.9762, -39.2207, 0.060907, 1.6249, 37.5761, -31.0596
0.01, 0.012975, -0.10992, -0.0357, 0.17978, 0.39282, 0.28815, -0.46705, 0.46705, 7.6025, 28.2839, 0, 0, 17.862, -38.4653, 0.060885, 1.6249, 25.4645, -10.1814
0.02, 0.0079827, -0.10981, -0.020529, 0.17947, 0.3827, 0.277, -0.48467, 0.48467, 7.0872, 29.3278, 0, 0, 17.8718, -38.6333, 0.06085, 1.6249, 24.959, -9.3055
0.03, 0.0073981, -0.10972, -0.018478, 0.17925, 0.3706, 0.27045, -0.48525, 0.48525, 7.0728, 29.3603, 0, 0, 17.8658, -38.636, 0.060825, 1.6249, 24.9386, -9.2757
0.04, 0.0044212, -0.10965, -0.0071883, 0.17908, 0.35879, 0.26423, -0.48527, 0.48527, 7.0828, 29.3411, 0, 0, 17.8932, -38.9195, 0.0608, 1.6249, 24.976, -9.5784
0.05, -0.0019215, -0.10965, 0.012716, 0.17915, 0.34732, 0.2582, -0.48528, 0.48528, 7.0929, 29.3187, 0, 0, 17.9331, -39.2628, 0.060785, 1.6249, 25.0261, -9.9442
0.06, -0.0058395, -0.10969, 0.026329, 0.17933, 0.33619, 0.25234, -0.48529, 0.48529, 7.0969, 29.3057, 0, 0, 17.9569, -39.4815, 0.060773, 1.6249, 25.0538, -10.1758
0.07, -0.0045234, -0.10975, 0.021239, 0.17959, 0.32538, 0.24665, -0.4853, 0.4853, 7.0958, 29.307, 0, 0, 17.9645, -39.5022, 0.060766, 1.6249, 25.0603, -10.1953
0.08, -0.0023136, -0.10977, 0.015162, 0.17973, 0.3149, 0.24114, -0.48531, 0.48531, 7.0919, 29.3126, 0, 0, 17.9533, -39.4447, 0.06075, 1.6249, 25.0452, -10.1322
0.09, -0.0045487, -0.10979, 0.019123, 0.17987, 0.30472, 0.23578, -0.48532, 0.48532, 7.0926, 29.3126, 0, 0, 17.9621, -39.4692, 0.060738, 1.6249, 25.0547, -10.1566
0.1, 0.0028026, -0.10981, -0.0010219, 0.18001, 0.29484, 0.23059, -0.48533, 0.48533, 7.0848, 29.3282, 0, 0, 17.9335, -39.2644, 0.060727, 1.6249, 25.0183, -9.9362
0.11, 0.0042996, -0.10979, -0.0037842, 0.18003, 0.28525, 0.22554, -0.48534, 0.48534, 7.0842, 29.3264, 0, 0, 17.9286, -39.3014, 0.060703, 1.6249, 25.0128, -9.9751
0.12, 0.0054015, -0.10974, -0.0090517, 0.17996, 0.27595, 0.22065, -0.48534, 0.48534, 7.0764, 29.3486, 0, 0, 17.884, -38.9764, 0.060671, 1.6249, 24.9604, -9.6278
0.13, 0.010202, -0.10967, -0.023926, 0.17982, 0.26692, 0.2159, -0.48535, 0.48535, 7.0703, 29.366, 0, 0, 17.8423, -38.7115, 0.060639, 1.6249, 24.9127, -9.3455
0.14, 0.009678, -0.10958, -0.021412, 0.17961, 0.25815, 0.21128, -0.48536, 0.48536, 7.0722, 29.3628, 0, 0, 17.8341, -38.7388, 0.060601, 1.6249, 24.9064, -9.3759
0.15, 0.0051139, -0.1095, -0.0092638, 0.17943, 0.24964, 0.20681, -0.48536, 0.48536, 7.0773, 29.355, 0, 0, 17.8443, -38.8358, 0.060567, 1.6249, 24.9216, -9.4808
0.16, 0.0038835, -0.10943, -0.005656, 0.17931, 0.24085, 0.20354, -0.48388, 0.48388, 7.2025, 29.2591, 0, 0, 17.8467, -38.9233, 0.060536, 1.6249, 25.0493, -9.6642
0.17, 0.00082766, -0.1094, 0.0037443, 0.17927, 0.23359, 0.19798, -0.48284, 0.48284, 7.05, 29.1872, 0, 0, 17.8629, -39.0603, 0.060516, 1.625, 24.9128, -9.8731
0.18, 3.86e-05, -0.1094, 0.0055099, 0.17933, 0.22562, 0.19429, -0.4826, 0.4826, 7.0986, 29.1631, 0, 0, 17.883, -39.2089, 0.060502, 1.6249, 24.9816, -10.0457
0.19, 0.009631, -0.10935, -0.022546, 0.17923, 0.21899, 0.18858, -0.482, 0.482, 6.884, 29.1655, 0, 0, 17.7968, -38.636, 0.060474, 1.625, 24.6808, -9.4705
0.2, 0.0095506, -0.10925, -0.022147, 0.179, 0.2135, 0.18124, -0.48206, 0.48206, 6.4831, 29.1744, 0, 0, 17.7731, -38.5293, 0.060437, 1.625, 24.2562, -9.3549
0.21, 0.01285, -0.10913, -0.033823, 0.17869, 0.20769, 0.17505, -0.48205, 0.48205, 6.1963, 29.1915, 0, 0, 17.727, -38.2289, 0.060397, 1.625, 23.9233, -9.0374
0.22, 0.0094427, -0.109, -0.024575, 0.17836, 0.20064, 0.17176, -0.48288, 0.48288, 6.2404, 29.2287, 0, 0, 17.7386, -38.3742, 0.060359, 1.625, 23.9789, -9.1455
