time, dqAnkle, qAnkle, dqHip, qHip, ActivationTA, ActivationGAS, ActivationIP, ActivationGM, AnkleTorque, HipTorque, FloorAngle, FloorVel, StiffnessAnkle, StiffnessHip, COM X, Head Z, Total Ankle Torque, Total Hip Torque
0, 0.004684, -0.11, -0.013249, 0.18, 0.41189, 0.22092, 0.12668, -0.12668, 0.67414, -1.6914, 0, 0, 17.9762, -39.2207, 0.060907, 1.6249, 18.6503, -40.9121
0.01, 0.011246, -0.10994, -0.031487, 0.17983, 0.38111, 0.28371, -0.46128, 0.46128, 7.7637, 27.9269, 0, 0, 17.887, -38.6355, 0.060889, 1.6249, 25.6507, -10.7085
0.02, 0.019072, -0.1098, -0.054552, 0.17945, 0.37202, 0.27144, -0.4845, 0.4845, 7.0735, 29.3553, 0, 0, 17.801, -38.0831, 0.060853, 1.6249, 24.8745, -8.7278
0.03, 0.014896, -0.10963, -0.043195, 0.17894, 0.36026, 0.26501, -0.48525, 0.48525, 7.0557, 29.3987, 0, 0, 17.7835, -38.0424, 0.06081, 1.625, 24.8393, -8.6437
0.04, 0.019418, -0.10946, -0.055433, 0.17845, 0.34875, 0.25895, -0.48528, 0.48528, 7.0523, 29.4117, 0, 0, 17.7408, -37.823, 0.060768, 1.625, 24.7931, -8.4113
0.05, 0.017247, -0.10926, -0.050354, 0.17789, 0.33757, 0.25307, -0.48529, 0.48529, 7.0561, 29.4114, 0, 0, 17.7196, -37.7678, 0.06072, 1.625, 24.7757, -8.3565
0.06, 0.0099002, -0.10912, -0.030604, 0.17747, 0.32673, 0.24736, -0.4853, 0.4853, 7.0726, 29.3851, 0, 0, 17.7604, -38.1063, 0.06069, 1.6251, 24.833, -8.7213
0.07, 0.010077, -0.10902, -0.031452, 0.17714, 0.3162, 0.24183, -0.48531, 0.48531, 7.07, 29.3941, 0, 0, 17.7305, -37.9428, 0.06067, 1.6251, 24.8005, -8.5487
0.08, 0.0042306, -0.10892, -0.016165, 0.17683, 0.30599, 0.23645, -0.48532, 0.48532, 7.079, 29.3807, 0, 0, 17.751, -38.107, 0.060653, 1.6251, 24.83, -8.7263
0.09, 0.0085244, -0.10887, -0.028557, 0.17665, 0.29607, 0.23123, -0.48533, 0.48533, 7.0743, 29.3938, 0, 0, 17.7216, -37.9004, 0.06065, 1.6251, 24.7959, -8.5066
0.1, 0.0046084, -0.10881, -0.017474, 0.17643, 0.28645, 0.22617, -0.48533, 0.48533, 7.0814, 29.3801, 0, 0, 17.7422, -38.0797, 0.060644, 1.6251, 24.8236, -8.6996
0.11, 0.0052123, -0.10877, -0.017228, 0.17628, 0.27711, 0.22126, -0.48534, 0.48534, 7.0817, 29.3789, 0, 0, 17.7372, -38.0848, 0.060642, 1.6251, 24.8189, -8.7059
0.12, -0.00044309, -0.10873, -0.0029848, 0.17614, 0.26804, 0.21649, -0.48535, 0.48535, 7.0901, 29.3632, 0, 0, 17.7709, -38.3021, 0.060642, 1.6251, 24.861, -8.9389
0.13, 0.00014315, -0.10873, -0.0059153, 0.1761, 0.25924, 0.21186, -0.48536, 0.48536, 7.0903, 29.3623, 0, 0, 17.7737, -38.3163, 0.060654, 1.6251, 24.864, -8.954
0.14, 0.0050193, -0.10872, -0.019721, 0.17602, 0.2507, 0.20737, -0.48536, 0.48536, 7.0832, 29.3809, 0, 0, 17.7383, -38.0425, 0.060664, 1.6251, 24.8215, -8.6615
0.15, 0.0024606, -0.10869, -0.013223, 0.17586, 0.24241, 0.203, -0.48537, 0.48537, 7.0866, 29.376, 0, 0, 17.7494, -38.0994, 0.060669, 1.6252, 24.836, -8.7234
0.16, 0.0022924, -0.10866, -0.013065, 0.17574, 0.23408, 0.19936, -0.48415, 0.48415, 7.1504, 29.31, 0, 0, 17.7313, -37.9813, 0.060678, 1.6252, 24.8817, -8.6713
0.17, 0.004279, -0.10864, -0.018406, 0.17559, 0.22532, 0.1972, -0.48298, 0.48298, 7.3697, 29.2427, 0, 0, 17.7227, -37.9231, 0.060687, 1.6252, 25.0925, -8.6804
0.18, 0.0033436, -0.10859, -0.015383, 0.17542, 0.21733, 0.19424, -0.48187, 0.48187, 7.4827, 29.176, 0, 0, 17.7168, -37.8943, 0.060689, 1.6252, 25.1994, -8.7183
0.19, 0.0030315, -0.10858, -0.014962, 0.1753, 0.20968, 0.19117, -0.48078, 0.48078, 7.5718, 29.1025, 0, 0, 17.7353, -37.9988, 0.060701, 1.6252, 25.3071, -8.8963
0.2, 0.0047069, -0.10855, -0.020283, 0.17515, 0.20238, 0.188, -0.47958, 0.47958, 7.6281, 29.044, 0, 0, 17.7044, -37.7884, 0.060709, 1.6252, 25.3325, -8.7443
0.21, -0.0016388, -0.10854, -0.00026806, 0.17507, 0.19529, 0.18481, -0.47948, 0.47948, 7.6848, 29.0146, 0, 0, 17.7501, -38.1211, 0.060722, 1.6252, 25.4349, -9.1065
0.22, -0.00057346, -0.10855, -0.003006, 0.17504, 0.18816, 0.18212, -0.47904, 0.47904, 7.7773, 28.9933, 0, 0, 17.7388, -38.0427, 0.060737, 1.6252, 25.516, -9.0494
0.23, -0.0013372, -0.10855, 0.00066379, 0.17501, 0.18134, 0.1793, -0.47872, 0.47872, 7.8478, 28.9705, 0, 0, 17.7437, -38.0898, 0.060749, 1.6252, 25.5915, -9.1193
0.24, -0.0061571, -0.10861, 0.012619, 0.17512, 0.17459, 0.17675, -0.47881, 0.47881, 7.9449, 28.9509, 0, 0, 17.805, -38.47, 0.060772, 1.6252, 25.7499, -9.5191
0.25, -0.010574, -0.10869, 0.025597, 0.17532, 0.16869, 0.17306, -0.47831, 0.47831, 7.8958, 28.9069, 0, 0, 17.8455, -38.701, 0.060807, 1.6252, 25.7413, -9.794
0.26, -0.013068, -0.1088, 0.033063, 0.17558, 0.16315, 0.16909, -0.47789, 0.47789, 7.8032, 28.8687, 0, 0, 17.8834, -38.927, 0.060843, 1.6252, 25.6866, -10.0583
0.27, -0.011088, -0.10892, 0.027065, 0.17588, 0.15672, 0.16724, -0.47814, 0.47814, 7.9395, 28.8847, 0, 0, 17.8972, -38.9509, 0.060883, 1.6251, 25.8367, -10.0662
